Species,ID,Mass,SVL,BL,Hand_Area,Foot_Area,Trial,Date,Calibration,Frame_Rate,Decimation,Incline,Hind_Stance_Start,Hind_Stance_End,Hind_Swing_End,Fore_Stance_Start,Fore_Stance_End,Fore_Swing_End,Hand_Spread,Foot_Spread
Aneides aeneus,Aaen25,1.63,5,11.1,0.11524,0.20961,Aaen25_Flat01,4/11/24,240411_Calib05,400,1,0,6,412,447,201,536,609,108.169,123.999
Aneides aeneus,Aaen25,1.63,5,11.1,0.11524,0.20961,Aaen25_Flat03,4/11/24,240411_Calib05,400,1,0,4,360,396,159,480,537,105.528,119.049
Aneides aeneus,Aaen25,1.63,5,11.1,0.11524,0.20961,Aaen25_Flat04,4/11/24,240411_Calib05,400,1,0,5,274,312,120,387,432,108.016,116.506
Aneides aeneus,Aaen25,1.63,5,11.1,0.11524,0.20961,Aaen25_Flat05,4/11/24,240411_Calib05,400,1,0,6,482,534,253,641,736,103.496,119.184
Aneides aeneus,Aaen25,1.63,5,11.1,0.11524,0.20961,Aaen25_Flat06,4/11/24,240411_Calib05,400,1,0,3,536,582,238,706,785,111.2,117.003
Aneides aeneus,Aaen25,1.61,5,11.1,0.11524,0.20961,Aaen25_Vert01,5/1/24,240501_Calib02,400,1,90,5,653,698,206,835,913,101.385,117.972
Aneides aeneus,Aaen25,1.61,5,11.1,0.11524,0.20961,Aaen25_Vert02,5/1/24,240501_Calib02,400,1,90,7,465,501,160,591,640,101.458,117.733
Aneides aeneus,Aaen25,1.61,5,11.1,0.11524,0.20961,Aaen25_Vert03,5/1/24,240501_Calib02,400,1,90,6,488,525,160,623,691,93.957,114.3
Aneides aeneus,Aaen25,1.61,5,11.1,0.11524,0.20961,Aaen25_Vert04,5/1/24,240501_Calib02,400,1,90,5,550,590,194,687,756,103.627,115.197
Aneides aeneus,Aaen25,1.61,5,11.1,0.11524,0.20961,Aaen25_Vert06,5/1/24,240501_Calib02,400,1,90,7,503,536,158,633,690,99.765,118.535
Aneides aeneus,Aaen27,1,4.1,8.1,0.08441,0.14037,Aaen27_45deg02,4/16/24,240416_Calib03,400,1,45,3,97,118,48,158,181,96.033,110.749
Aneides aeneus,Aaen27,1,4.1,8.1,0.08441,0.14037,Aaen27_45deg03,4/16/24,240416_Calib03,400,1,45,3,124,145,63,188,212,109.801,115.731
Aneides aeneus,Aaen27,1,4.1,8.1,0.08441,0.14037,Aaen27_45deg04,4/16/24,240416_Calib03,400,1,45,7,179,201,94,255,283,106.022,117.922
Aneides aeneus,Aaen27,1,4.1,8.1,0.08441,0.14037,Aaen27_45deg05,4/16/24,240416_Calib03,400,1,45,5,226,252,101,310,338,107.213,123.239
Aneides aeneus,Aaen27,1,4.1,8.1,0.08441,0.14037,Aaen27_45deg06,4/16/24,240416_Calib03,400,1,45,4,220,250,87,324,346,109.6,116.902
Aneides aeneus,Aaen27,1.12,4.1,8.1,0.08441,0.14037,Aaen27_80deg01,4/24/24,240424_Calib01,400,1,80,5,306,334,118,411,452,102.919,119.39
Aneides aeneus,Aaen27,1.12,4.1,8.1,0.08441,0.14037,Aaen27_80deg02,4/24/24,240424_Calib01,400,1,80,10,386,411,150,509,533,116.809,110.941
Aneides aeneus,Aaen27,1.12,4.1,8.1,0.08441,0.14037,Aaen27_80deg03,4/24/24,240424_Calib01,400,1,80,7,289,309,112,388,417,106.933,107.153
Aneides aeneus,Aaen27,1.12,4.1,8.1,0.08441,0.14037,Aaen27_80deg05,4/24/24,240424_Calib01,400,1,80,7,472,503,163,638,678,109.238,112.897
Aneides aeneus,Aaen27,1.12,4.1,8.1,0.08441,0.14037,Aaen27_80deg06,4/24/24,240424_Calib01,400,1,80,2,393,417,134,514,542,106.518,102.322
Aneides aeneus,Aaen27,1.1,4.1,8.1,0.08441,0.14037,Aaen27_Flat02,4/10/24,240410_Calib05,400,1,0,3,110,131,59,163,191,116.994,110.194
Aneides aeneus,Aaen27,1.1,4.1,8.1,0.08441,0.14037,Aaen27_Flat03,4/10/24,240410_Calib05,400,1,0,2,236,265,113,344,381,114.23,111.888
Aneides aeneus,Aaen27,1.1,4.1,8.1,0.08441,0.14037,Aaen27_Flat04,4/10/24,240410_Calib05,400,1,0,2,156,183,77,229,264,119.536,110.654
Aneides aeneus,Aaen27,1.1,4.1,8.1,0.08441,0.14037,Aaen27_Flat05,4/10/24,240410_Calib05,400,1,0,3,104,127,57,154,180,115.449,112.843
