Species,ID,Mass,SVL,BL,Arm_Length,Leg_Length,Hand_Area,Foot_Area,Trial,Date,Calibration,Frame_Rate,Decimation,Incline,Speed,Hind_Stride_Length,Fore_Stride_Length,Fore_Duty_Factor,Hind_Duty_Factor,Fore_Stride_Dur,Hind_Stride_Dur,Fore_Stride_Freq,Hind_Stride_Freq,Hand_Spread,Foot_Spread
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.81933606,0.866055894,0.07585,0.132,Aaen20_Flat03,4/10/24,240410_Calib05,400,1,0,5.615447737,2.979258878,2.882949433,0.815533981,0.819905213,0.515,0.5275,1.941747573,1.895734597,106.045,104.879
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.815390668,0.868522102,0.07585,0.132,Aaen20_Flat04,4/10/24,240410_Calib05,400,1,0,7.369481949,2.774540929,2.826765913,0.810810811,0.824675325,0.37,0.385,2.702702703,2.597402597,106.617,116.996
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.816864517,0.86992519,0.07585,0.132,Aaen20_Flat05,4/10/24,240410_Calib05,400,1,0,8.515201948,2.761770979,2.680718157,0.798507463,0.80952381,0.335,0.315,2.985074627,3.174603175,101.036,110.84
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.820695176,0.875289391,0.07585,0.132,Aaen20_Flat07,4/10/24,240410_Calib05,400,1,0,7.856931117,2.71330763,2.684134724,0.838235294,0.818181818,0.34,0.3575,2.941176471,2.797202797,101.915,109.014
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.807824981,0.875044203,0.07585,0.132,Aaen20_Vert01,4/30/24,240430_Calib09,400,1,90,1.715978952,1.742682112,1.861837858,0.936470588,0.939320388,1.0625,1.03,0.941176471,0.970873786,100.162,109.174
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.797623513,0.874254783,0.07585,0.132,Aaen20_Vert02,4/30/24,240430_Calib09,400,1,90,2.250176328,2.07759949,1.964144388,0.904761905,0.926553672,0.8925,0.885,1.120448179,1.129943503,94.649,114.385
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.799370877,0.874600814,0.07585,0.132,Aaen20_Vert03,4/30/24,240430_Calib09,400,1,90,2.055126705,1.966253421,2.015533197,0.912698413,0.925824176,0.945,0.91,1.058201058,1.098901099,93.317,109.713
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.80262228,0.876282477,0.07585,0.132,Aaen20_Vert05,4/30/24,240430_Calib09,400,1,90,2.076156786,2.094353949,2.094973477,0.917073171,0.920481928,1.025,1.0375,0.975609756,0.963855422,99.5,118.329
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.789984173,0.876433472,0.07585,0.132,Aaen20_Vert06,4/30/24,240430_Calib09,400,1,90,3.006184849,2.237873868,2.178950854,0.899665552,0.896193772,0.7475,0.7225,1.337792642,1.384083045,99.995,116.931
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.797938296,0.813463318,0.0709,0.11936,Aaen21_45deg01,3/5/24,240305_Calib01,400,1,45,6.931228023,2.04856516,2.192350668,0.8515625,0.87804878,0.32,0.3075,3.125,3.25203252,103.933,106.964
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.815840478,0.813955694,0.0709,0.11936,Aaen21_45deg02,3/5/24,240305_Calib01,400,1,45,4.707681079,1.843046103,2.081565656,0.910714286,0.909574468,0.42,0.47,2.380952381,2.127659574,102.279,107.152
